№ проекта|№ в ERP:|Отдел|Статус|Дата(КД)|Лазер|Н/час сб.|Этап|кол-во|Отгр.|Вес|Сост.|
1904093|ПУ00-000179|ШГ|отгружено|08.05.2019|к|55||1|24.06.2019|1157||
1906076|ПУ00-000271|ПР|отгружено|19.06.2019|л|0||24|20.06.2019|130|лазер|
1810027|ПУ00-000706|КЛ|отгружено|26.02.2019|л|500||54|21.06.2019|8794||
1301039|ПУ00-000254|КТМ|отгружено|14.06.2019|лг+|70||2|24.06.2019|1320||1301039-254`0`1`
1708035|ПУ00-000236|КТ|отгружено|03.06.2019|л|11||4|21.06.2019|106||1708035-236`0`1`
1901096|ПУ00-000260|КТ|отгружено|18.06.2019|л|33||7|21.06.2019|313||1901096-260`0`1`в работе
Опытный образец АО|Отдел технолога\В работе\Опытный образец АО\Опытный образец Подвода воздуха|АО|отгружено|25.05.2019|л|3||1|25.05.2019|2|ПУ00-000100|
1806105|ПУ00-000157|ШГ|отгружено|17.05.2019|л|66||1|25.06.2019|1636,69||1806105-157`0`1`(+ перф.)
1906141|ПУ00-000281|ПР|отгружено|26.06.2019||0||12|26.06.2019|1|Лазерная резка|
1906143|ПУ00-000282|ПР|отгружено|26.06.2019||0||22|27.06.2019|1|лазер|
1701004.2|ПУ00-000263|КТ|отгружено|18.06.2019|о|0,33||1|25.06.2019|1|1|1701004-263``0`в обработке
1906010|ПУ00-000235|ПР|отгружено|03.06.2019|л|0||217|03.06.2019|1||
1701004.01|ПУ00-000262|КТ|отгружено|18.06.2019|о|0,33||1|25.06.2019|1|1|1701004-262``0`в обработке
1906158|ПУ00-000285|ПР|отгружено|28.06.2019||0||2|28.06.2019|1||
1902145|ПУ00-000159|ШГ|отгружено|04.06.2019|л|53||1|28.06.2019|1105|Прошу сообщить дату готовности к отгрузке проект_1902145|1902145-159`0`1`
1309167|ПУ00-000233|КТМ|отгружено|03.06.2019|к|135||6|28.06.2019|5156||1309167-233`0`1`
1901083|ПУ00-000205|ЛК|отгружено|13.05.2019|л|110|?|4|28.06.2019|689|штуцера и покрасить|1901083-205`0`1`
1702253|ПУ00-000218|АО|отгружено|20.05.2019|к|160||4|28.06.2019|1848||1702253-218`0`1`
1905089|ПУ00-000222|КЛ|отгружено|17.06.2019|л|15||1|28.06.2019|36||1905089-222`0`1`
1905127|ПУ00-000250|КЛ|отгружено|17.06.2019|л|36||4|28.06.2019|234|234|1905127-250`0`1`
1906042|ПУ00-000283|ПР|отгружено|27.06.2019||0||60|01.07.2019|1||
1904001|ПУ00-000274|КТ|отгружено|20.06.2019|л|20||3|28.06.2019|326|326|1904001-274`0`1`в работе
741124|ПУ00-000294|ПР|отгружено|03.07.2019||0||2|03.07.2019|1|только лазер|
1806018|ПУ00-000256|КТМ|отгружено|14.06.2019|лг+|57||4|04.07.2019|472||1806018-256`0`1`
дверь|-|ПР|отгружено|26.06.2019||8|-|1|04.07.2019|200||
1309167|ПУ00-000240|КТМ|отгружено|06.06.2019|лг+|182||6|06.07.2019|5850|07 поз!надо к концу след. недели хоть что-то сдать по этому проекту|1309167-240`0`1`
1907011|ПУ00-000292|ПР|отгружено|02.07.2019|р|0||50|03.07.2019|1||1907011-292`1,07582291666667`0,43`
1902156|ПУ00-000278|КТ|отгружено|26.06.2019|лг+|78|?|6|10.07.2019|835||1902156-278`0`1`
1204118|ПУ00-000305|КТ|отгружено|11.07.2019|лг+|0||2|12.07.2019|55||1204118-305`0`1`в работе
1812028|ПУ00-000187|КЛ|отгружено|13.05.2019|лг+|38||2|05.07.2019|566|566|1812028-187`0`1`
1611090|ПУ00-000261|КТ|отгружено|18.06.2019|к|2||3|05.07.2019|54||1611090-261`0`1`
1903025|ПУ00-000243|ЛК|отгружено|14.06.2019|л|97||3|12.07.2019|558|558|1903025-243`0`1`
1904069|ПУ00-000227|КЛ|отгружено|17.06.2019|лг+|72||3|07.07.2019|1160||1904069-227`0`1`
1504025|ПУ00-000255|КТ|отгружено|14.06.2019|к|5,63||6|09.07.2019|18|18|1504025-255`0`1`
1905084|ПУ00-000237|КЛ|отгружено|27.06.2019|лг+|75||1|09.07.2019|115||1905084-237`0`1`
1709106|ПУ00-000308|КТ|отгружено|11.07.2019||9||4|15.07.2019|483|зачистка|
1903004|ПУ00-000251|КТ|отгружено|26.06.2019|лг+|40||3|10.07.2019|594||1903004-251`0`1`
1903167|ПУ00-000190|ГГ|отгружено|10.07.2019|к|560|?|9|15.07.2019|8018|144 часа|1903167-190`0`1`
1805043|ПУ00-000246|КТ|отгружено|11.06.2019|лг+|18||2|15.07.2019|594||1805043-246`0`1`
1712086|ПУ00-000259|КТМ|отгружено|17.06.2019|лг+|309||6|16.07.2019|2476|малярка|1712086-259`0`1`
1510060|ПУ00-000303|КТ|отгружено|10.07.2019|л|1||13|15.07.2019|42||1510060-303`0`1`в работе
1905102|ПУ00-000302|КТ|отгружено|09.07.2019|л|5||2|15.07.2019|24||1905102-302`0`1`в работе
1902134|ПУ00-000304|КТ|отгружено|02.08.2019||4||1|18.07.2019|100|передлка|
1902134|ПУ00-000304|КТ|отгружено|18.07.2019|л|4||1|18.07.2019|45|готов|1902134-304`0`1`в работе
1811129|ПУ00-000247|ЛК|отгружено|12.07.2019|л|18||2|19.07.2019|20||1811129-247`0`1`
1706004|ПУ00-000238|КТ|отгружено|04.06.2019|лг?|4||8|17.07.2019|156|156|1706004-238`0`1`
1904159|ПУ00-000244|ШГ|отгружено|08.07.2019|лг-|25||1|19.07.2019|105||1904159-244`0`1`в работе
1901054|ПУ00-000231|ШГ|отгружено|04.07.2019|л|42||1|19.07.2019|821|со вторника после 75|1901054-231`0`1`
1204118|ПУ00-000273|КТ|отгружено|20.06.2019|лг-|48||3|18.07.2019|2477||1905084-273`0`1`в работе
1309167|ПУ00-000293|ПР|отгружено|02.07.2019|л|53||12|19.07.2019|1920||1309167-293`0`1`в работе (П)
Ящик|Отдел технолога\В работе\Ящик|ПР|отгружено|16.07.2019|н|5|||19.07.2019|30|отгрузить надо 19.07|
1907051|ПУ00-000321|ПР|отгружено|19.07.2019||0||2|22.07.2019|12||
1904040|ПУ00-000198|КЛ|отгружено|23.05.2019|л|42||1|22.07.2019|886|запущен|1904040-198`0`1`
1307086|ПУ00-000280|КТ|отгружено|26.06.2019|лг-|13||4|22.07.2019|48|в малярке|1307086-280`0`1`в работе
1907178|ПУ00-000325|ПР|отгружено|24.07.2019||1||1|24.07.2019|1||
1905017|ПУ00-000272|КЛ|отгружено|08.07.2019|л|31||1|24.07.2019|150|в раб 6 пост 1 день|1905017-272`0`1`
1807007|ПУ00-000264|КТМ|отгружено|18.06.2019|лг+|38||1|24.07.2019|480|ещё сверлить|1807007-264`0`1`
1907170|ПУ00-000333|ПР|отгружено|24.07.2019||1|?|1|25.07.2019|70|бак|
1907191|ПУ00-000332|ПР|отгружено|24.07.2019||1||1|25.07.2019|1||
1906024|ПУ00-000310|ПР|отгружено|11.07.2019|л|0,42||1|25.07.2019|70|стенд испытательный|1906024-310`0`1`в работе
1607183|ПУ00-000287|ШГ|отгружено|08.07.2019|к|144||4|25.07.2019|3600|2 короб на 1 пост|1607183-287`0`1`
1904103|ПУ00-000203|ШГ|отгружено|14.05.2019|л|151||4|25.07.2019|444||1904103-203`0`1`
1801103|ПУ00-000101|АО|отгружено|01.05.2019|л|4|?|||80|13 шт образец АО|
1204113ЛКПЗ|ПУ00-000253|ЛК|отгружено|14.06.2019|л|203||14|26.07.2019|1361||1204113-253`0`1`
1504065|ПУ00-000279|КТ|отгружено|26.06.2019|лг?|10||7|26.07.2019|8||1504065-279`0`1`
1904147|ПУ00-000265|ПР|отгружено|26.06.2019||1||5|26.07.2019|1||
1906156|ПУ00-000319|КТ|отгружено|19.07.2019||8||2|26.07.2019|194|МАЛЯРКА|
1907131|ПУ00-000318|КЛ|отгружено|22.07.2019||41||2|26.07.2019|211|ЗАВТРА В МОЛЯРКУ|
1907181|ПУ00-000327|ПР|отгружено|24.07.2019||1||40|30.07.2019|1||
1807075|ПУ00-000228|ШГ|отгружено|07.06.2019|к|83||4|31.07.2019|450|1807051  номер|1807075-228`0`1`09.07.2019
1307260|ПУ00-000338|КТ|отгружено|28.07.2019|о|0,67||1|02.08.2019|11||1307260-338`4,54513888888889E-03`0`
1905068|ПУ00-000298|КТ|отгружено|08.07.2019|л|6||1|02.08.2019|30||1905068-298`0`1`в работе
1810011|ПУ00-000309|КТ|отгружено|11.07.2019|л|14||4|02.08.2019|72|к отгрузке|1810011-309`0`1`в работе
1704053|ПУ00-000301|КТ|отгружено|09.07.2019|л|0||3|02.08.2019|90|в келасте|1704053-301`0`1`
1904088|ПУ00-000276|ШГ|отгружено|09.07.2019|к|46||1|02.08.2019|180|труба 108|1904088-276`0`1`
1903041|ПУ00-000299|КТ|отгружено|08.07.2019|л|18||2|02.08.2019|228||1903041-299`0`1`в работе
1903039|ПУ00-000269|ШГ|отгружено|08.07.2019|к|40||1|05.08.2019|500|в мол|1903039-269`0`1`
1609204|ПУ00-000340|ПР|отгружено|06.08.2019||0|-|3|08.08.2019|5|сопло?|
1907154|ПУ00-000324|КЛ|отгружено|25.07.2019|о|12||1|06.08.2019|72|мигалка|1907154-324`2,07905092592593E-02`0`
1811097|ПУ00-000241|ШГ|отгружено|23.07.2019|л|52||3|06.08.2019|300||1811097-241`0`1`
ПН.19.001|ПУ00-000350|ПР|отгружено|06.08.2019||3|?|1|09.08.2019|23|Щит|
1702113|ПУ00-000336|КТ|отгружено|28.07.2019|л|11||2|09.08.2019|120|в разборе|1702113-336`0`1`
1710033|ПУ00-000337|КТ|отгружено|28.07.2019|к|9||2|16.08.2019|30||1710033-337`8,83564814814815E-03`0,4`
1508065|ПУ00-000328|КТ|отгружено|24.07.2019|к|3||1|16.08.2019|15||1508065-328`0`1`
1404101|ПУ00-000345|КТ|отгружено|20.08.2019|к|1||1|18.08.2019|10||1404101-345`0`1`
1808069|ПУ00-000317|ЛК|отгружено|16.07.2019|к|27||2|19.08.2019|144||1808069-317`0,014068287037037`0,72`
1408182|ПУ00-000316|КТМ|отгружено|16.07.2019|к|114||4|19.08.2019|1269|4 круглых модуля|1408182-316`9,15902777777778E-02`0,88`
1603079|ПУ00-000312|КТ|отгружено|12.07.2019|к|32||2|19.08.2019|500|со шпильками|1603079-312`0`1`
1907181|ПУ00-000376|ЛА|отгружено|20.08.2019|р|0||350|20.08.2019|1|лазер|1907181-376`0,123800925925926`0,27`
1406163|ПУ00-000370|КТ|отгружено|16.08.2019|к|6||4|20.08.2019|40||1406163-370`0`1`
1906101|ПУ00-000354|КТ|отгружено|06.08.2019|к|15||8|20.08.2019|140|экраны и ответные|1906101-354`0`1`
1706129|ПУ00-000349|КТ|отгружено|02.08.2019|к|9||1|20.08.2019|161|все корпуса|
1710009|ПУ00-000320|КЛ|отгружено|19.07.2019|к|296||39|20.08.2019|4150|192 чааса|1710009-320`0`1`
1710009|ПУ00-000307|КЛ|отгружено|11.07.2019|к|210||18|20.08.2019|2700|/96 часов|1710009-307`0`1`
1903001|ПУ00-000147|КЛ|отгружено|09.04.2019|л|6||1|20.08.2019|30|раздельные заявки ПУ-145, пу-147 по проекту 1903001 |
1908135|ПУ00-000380|ЛА|отгружено|22.08.2019|л|0||25|21.08.2019|1|21.08.2019|1908135-380`0`1`
1906150|ПУ00-000311|КЛ|отгружено|15.07.2019|л|432||12|21.08.2019|496|360 часов|1906150-311`0`1`10.09.2019
1908150|ПУ00-000380|ЛА|отгружено|22.08.2019|л|0||44|22.08.2019|1|22.08.2019|1908135-380`0`1`
1808027|ПУ00-000365|КТ|отгружено|15.08.2019|л|240||24|22.08.2019|830|176 часов|1808027-365`0`1`
1908160|ПУ00-000384|ЛА|отгружено|23.08.2019|о|0||7|23.08.2019|1||1908160-384`8,63194444444445E-03`0`
1908137|ПУ00-000381|ЛА|отгружено|23.08.2019|к|0||7|23.08.2019|1|лазер|
1906075|ПУ00-000315|КЛ|отгружено|25.07.2019|к|21||1|23.08.2019|120||1906075-315`0`1`
1903130|ПУ00-000326|ШГ|отгружено|24.07.2019|к|110||2|23.08.2019|1330|с лазера ср, чт|1903130-326`0`1`
механизм|ПУ00-000398|ЛА|отгружено|27.08.2019|к|0||1|26.08.2019|1|заявка для этапов, деталь отгружена |
1907169|ПУ00-000382|КТ|отгружено|21.08.2019|р|24||9|26.08.2019|414|Проект 1907169
Приступить к резке не позднее 22.08.2019  
Осуществить отгрузку не позднее 26.08.2019
Срочный проект, сборку осуществить по возможности в субботу.  
|1907169-382`6,59363425925926E-02`0,64`
1204113|ПУ00-000355|ЛК|отгружено|12.08.2019|к|176||10|26.08.2019|1615|ертификаты на 2,5мм???|1204113-355`0`1`
лазер|ПУ00-000399|ЛА|отгружено|28.08.2019|к|0|?|19|27.08.2019|1|Контуры будут завтра, этап нужен для лазерной резки |
косынка|ПУ00-000366|ЛА|отгружено|27.08.2019|к|0||2|27.08.2019|1|Лазерная резка, заказ отгружен, нужны этапы |1908097-366`0`0`
бампер|ПУ00-000397|ЛА|отгружено|27.08.2019|к|0||1|27.08.2019|1|Заявка на лазерную резку |
1906159|ПУ00-000288|АО|отгружено|15.07.2019|л|232||12|29.08.2019|8940|Каретку и клапан не красим!|1906159-288`0`1`20.09.2019
1708122|ПУ00-000391|КТ|отгружено|26.08.2019|р|6||1|30.08.2019|450||1708122-391`0,142579861111111`0,3`
1907043|ПУ00-000323|КЛ|отгружено|22.08.2019|л|16||1|30.08.2019|106|Приступить к изготовлению не позднее 26.08.2019 ! В связи с долгим сроком поставки полиуретана 3 мм, по согласованию с закупкой, произвели замену на 5 мм, при этом болты М5х16 изменится на М5х18. Допускается замена на М5х20.   

|1907043-323`0`1`
1906035|ПУ00-000404|ПР|отгружено|30.08.2019||1||1|02.09.2019|1||
1411043|ПУ00-000351|КТ|отгружено|06.08.2019||6||2|02.09.2019|20|экраны|
1710009|ПУ00-000194|КЛ|отгружено|09.07.2019|к|320||15|24.08.2019|5150||1710009-194`0`1`
1809095|ПУ00-000395|КТ|отгружено|27.08.2019|л|21||4|02.09.2019|2060||1809095-395`0`1`
1804045|ПУ00-000342|КТ|отгружено|30.07.2019|к|4||1|26.08.2019|110||1804045-342`0`1`
1606042|ПУ00-000388|КТ|отгружено|26.08.2019|л|13||4|02.09.2019|74||1606042-388`0`1`
1906029|ПУ00-000297|ЛК|отгружено|11.07.2019|к|12||1|01.09.2019|71|ПУ00-000297|1906029-306`0`1`
1405143 рама|ПУ00-000356|ПР|отгружено|16.08.2019||24||4|02.09.2019|1100|рамы|
1405143|ПУ00-000352|КТМ|отгружено|06.08.2019|л|64||2|02.09.2019|1920||1405143-352`0`1`
1405143|ПУ00-000334|КТМ|отгружено|25.07.2019|к|218| |4|02.09.2019|3900||1405143-334`0`1`
1709353|ПУ00-000013|ШГ|отгружено|01.07.2019|к|104||1|02.09.2019|1974||
1907207|ПУ00-000407|ЛА|отгружено|03.09.2019||1||4|03.09.2019|1||
1909011|ПУ00-000414|ЛА|отгружено|03.09.2019||1||30|03.09.2019|1||
1909002|ПУ00-000409|ЛА|отгружено|03.09.2019||1||2|03.09.2019|1|лестница|
1905100|ПУ00-000383|ГГ|отгружено|23.08.2019|Л|1|?|2|03.09.2019|1|вторая часть этапы созданы|
1905100|ПУ00-000284|ГГ|отгружено|25.07.2019|л|156||4|03.09.2019|3640|ПУ00-000383   |1905100(2)-284`0`1`
1908215|ПУ00-000408|ЛА|отгружено|03.09.2019||1||2|04.09.2019|1||
1906139|ПУ00-000357|КТ|отгружено|12.08.2019|л|24||8|04.09.2019|752|1,5,6,7 по2|1906139-357`0`1`04.09.2019
1906139|ПУ00-000346|КТ|отгружено|02.08.2019|л|93||4|04.09.2019|1200|2,3 по 2|1906139-346`0`1`
1906167|ПУ00-000344|ШГ|отгружено|15.08.2019|л|16||1|05.09.2019|120||1906167-344`0`1`
1808071-1|ПУ00-000389|КТ|отгружено|26.08.2019|л|147||18|06.09.2019|2162||1808071-389`0`1`06.09.2019
1808071|ПУ00-000374|КТ|отгружено|20.08.2019|л|57||6|06.09.2019|1300||1808071-374`0`1`06.09.2019
1404172|ПУ00-000353|КТ|отгружено|06.08.2019|л|9||3|07.09.2019|150|экраны|1404172-353`0`1`07.09.2019
1501221|ПУ00-000394|КТ|отгружено|27.08.2019|л|13||2|09.09.2019|90||1501221-394`0`1`09.09.2019
1203061|ПУ00-000390|КТ|отгружено|26.08.2019|л|13||8|09.09.2019|90||1203061-390`0`1`09.09.2019
1805094ПЗ|ПУ00-000378|КТ|отгружено|21.08.2019|л|25||1|09.09.2019|138||1805094-378`3,33564814814816E-03`0,97`09.09.2019
1909033|ПУ00-000416|ПР|отгружено|06.09.2019||3||1|10.09.2019|35|основа для стола|
1802017|ПУ00-000252|ЛК|отгружено|25.07.2019|к|195||20|15.09.2019|2586|ПРЯМ ЛИНЗА|1802017-252`0`1`
1905040|ПУ00-000396|КТ|отгружено|27.08.2019|л|15||5|11.09.2019|85||1905040-396`0`1`11.09.2019
1703125|ПУ00-000392|КТ|отгружено|26.08.2019|л|1||2|11.09.2019|30||1703125-392`0`1`11.09.2019
1905014|ПУ00-000411|КТ|отгружено|03.09.2019|л|20||6|12.09.2019|303||1905014-411`0`1`12.09.2019
1702253.О|ПУ00-000000|ПР|отгружено|13.09.2019|л|2||2|13.09.2019|83||
1802017КЛ|ПУ00-000249|КЛ|отгружено|11.08.2019|л|360||16|15.09.2019|2671||1802017-249`0`1`14.09.2019
1604033|ПУ00-000424|КТ|отгружено|16.09.2019|л|14||28|18.09.2019|840||1604033-424`0`1`18.09.2019
1909063|ПУ00-000422|ЛА|отгружено|13.09.2019||0||8|18.09.2019|1|Обратите внимание, что контур заведены по 1 шт,  а необходимое кол-во указано в  заказе на производство!!|
1408182|ПУ00-000387|КТ|отгружено|26.08.2019|л|117||4|18.09.2019|700||1408182-387`0,202354166666667`0,7`18.09.2019
1804127|ПУ00-000423|КТ|отгружено|13.09.2019|л|2||1|20.09.2019|330||1804127-423`0`1`20.09.2019
1908176|ПУ00-000421|ЛК|отгружено|13.09.2019|к|33||2|23.09.2019|48|1мм|1908176-421`0`1`23.09.2019
1710090|ПУ00-000375|КТ|отгружено|20.08.2019|л|31||1|23.09.2019|1709||1710090-375`0`1`
1908039|ПУ00-000437|КТ|отгружено|25.09.2019|л|2||2|24.09.2019|20||1908039-437`0`1`24.09.2019
1901042|ПУ00-000369|ПР|отгружено|20.08.2019|к|14||4|24.09.2019|32||1901042-369`0`1`24.09.2019
1907142|ПУ00-000431|КТ|отгружено|23.09.2019|л|0,125||1|25.09.2019|41||1907142-431`0`1`25.09.2019
1802089|ПУ00-000412|КТ|отгружено|03.09.2019|л|27||3|26.09.2019|153||1802089-412`0`1`26.09.2019
1906081|ПУ00-000413|КТ|отгружено|03.09.2019|л|8||3|27.09.2019|22|1908061|1908061-413`0`1`27.09.2019
1902086|ПУ00-000403|ШГ|отгружено|29.08.2019|л|95|?|2|27.09.2019|2500||1902086-403`0`1`27.09.2019
1906021|ПУ00-000361|КЛ|отгружено|29.08.2019|л|40||2|27.09.2019|400||1906021-361`0`1`27.09.2019
1812044|ПУ00-000393|КТ|отгружено|26.08.2019|л|11||1|27.09.2019|90||1812044-393`0`1`27.09.2019
1904069|ПУ00-000386|КЛ|отгружено|11.09.2019|л|45||2|27.09.2019|300|Нормирование. Регистрация проекта в графике производства |1904069-386`0`1`27.09.2019
1812118|ПУ00-000405|КТ|отгружено|03.09.2019|л|10||4|30.09.2019|40||1812118-405`0`1`30.09.2019
1907156|ПУ00-000347|ШГ|отгружено|15.08.2019|л|31||1|27.09.2019|352||1907156-347`0`1`27.09.2019
1908010|ПУ00-000385|КЛ|отгружено|13.09.2019|к|20|?|1|30.09.2019|150||1908010-385`0`1`30.09.2019
1307086ЛК|ПУ00-000363|ЛК|отгружено|14.08.2019|л|32||1|30.09.2019|300|4мм|1307086-363`0`1`30.09.2019
1906139|ПУ00-000436|КТМ|отгружено|25.09.2019|л|55||6|02.10.2019|600||1906139-436`0`1`
1904012|ПУ00-000401|ЛК|отгружено|01.10.2019|л|34|?|1|04.10.2019|620||1904012-401`0`1`04.10.2019
кронштейн для вальцов|Оборудование Пауэрз\Линзовый станок\кронштейн для вальцов|ПР|отгружено|25.09.2019||1||1|4.10.2019|5||
1903025|ПУ00-000243|ЛК|отгружено|14.06.2019|к|97||3|04.10.2019|558|4мм |1903025-243`0`1`???
1905095|ПУ00-000286|КЛ|отгружено|16.09.2019|л|364|?|18|10.10.2019|1644|КЛ.1905095.01.083 Втулка доработать под  КЛ.1905095.01.031 Втулка корпуса уплотнения   и 02 тоже|1905095-286`0`1`10.10.2019
1906133|ПУ00-000368|КЛ|отгружено|11.09.2019|л|69||12|4.10.2019|2540||1906133-368`0`1`04.10.2019
Стойка под шланги|Оборудование Пауэрз\Линзовый станок\Стойка под шланги|ПР|отгружено|17.09.2019||1||1|4.10.2019|22||
стеллаж для хранения домкратов|Оборудование Пауэрз\стеллажи\стеллаж для хранения домкратов|ПР|отгружено|17.09.2019|н|2||1|4.10.2019|30||
19АР331КНС|ПУ00-000452|РТ|отгружено|04.10.2019|н|0||10|05.10.2019|9||
1703122|ПУ00-000446|КТ|отгружено|04.10.2019|л|16||1|07.10.2019|60||1703122-446`8,54282407407408E-03`0,91`07.10.2019
1810151|ПУ00-000435|КТМ|отгружено|25.09.2019|л|18||1|07.10.2019|250||1810151-435`0`1`
1710090_2|ПУ00-000448|КТ|отгружено|04.10.2019|н|8||1|09.10.2019|154||
1908161|ПУ00-000432|КТ|отгружено|23.09.2019|л|7||3|10.10.2019|32||1908161-432`0`1`10.10.2019
1909056|ПУ00-000427|АО|отгружено|20.09.2019|н|17||50|11.10.2019|295|Оснастка|
19АСО.КО.004|ПУ00-000426|АО|отгружено|17.09.2019|л|1||1|15.10.2019|5|Обращаю внимание на то, что штуцер АСО.КО.004.01.001 (из стали20) аналогичен штуцеру АСО.КО.001 (из 12х18н10т), который ранее использовался для подобных испытаний. Можем использовать его.|АСО-426`0`1`
1804070|ПУ00-000400|ЛК|отгружено|10.10.2019|л|19||1|14.10.2019|168||1804070-400`0`1`
1910110|ПУ00-000464|ЛА|отгружено|17.10.2019|л|0||36|17.10.2019|1||
1906156|ПУ00-000463|КТ|отгружено|16.10.2019|л|7||2|17.10.2019|136||1906156-463`0`1`17.10.2019
1405143|ПУ00-000000|КТ|отгружено|18.10.2019|л|96||4|18.10.2019|1980|добработка|
1908166|ПУ00-000433|КЛ|отгружено|24.10.2019|л|43||3|20.10.2019|255|1903001|1908166-433`0`1`
1703122.2|ПУ00-000466|КТ|отгружено|17.10.2019|л|18||2|23.10.2019|200||1703122-466`0`1`23.10.2019
1812064|ПУ00-000300|КЛ|отгружено|23.08.2019|л|30|?|2|24.10.2019|100||1812064-300`0`1`24.10.2019
1604162|ПУ00-000428|ШГ|отгружено|07.10.2019|л|51||1|25.10.2019|1844|при прошлой поставке не удалили часть облицовки в районе дренажей, прошу учесть это и обратить внимание в данном проекте|1604162-428`0`1`
1801003|ПУ00-000417|КТ|отгружено|10.09.2019|л|424||98|25.10.2019|12501|кирсанов|1801003-417`1,15856481481469E-03`1`25.10.2019
1801016|ПУ00-000371|КЛ|отгружено|04.10.2019|л|821||32|27.10.2019|15960|кирсанов нет кд|1801016-371`0`1`
1604135|Отдел технолога\В работе\ЗАКАЗЫ без ERP\1604135 |ПР|отгружено|28.10.2019||3||10|28.10.2019|34||
1906156.2|ПУ00-000492|КТ|отгружено|29.10.2019|л|7||2|29.10.2019|136||1906156-492`0`1`
ПН.19.031.00|Оборудование Пауэрз\стеллажи\ПН.19.031.00|ПР|отгружено|22.10.2019|л|1||1|29.10.2019|46||
1902161|ПУ00-000372|АО|отгружено|07.10.2019|л|160||2|31.10.2019|490|Сборку начнём не ранее октября , прошу учесть при выдаче заявки на закуп |1902161-372`0`1`
1604103_3|ПУ00-000454|КТ|отгружено|10.10.2019|л|3||2|30.10.2019|140||1604103-454`0`1`30.10.2019
1604103_2|ПУ00-000453|КТ|отгружено|10.10.2019|л|3||2|30.10.2019|44||1604103-453`0`1`30.10.2019
1908144|ПУ00-000418|ШГ|отгружено|07.10.2019|л|20|?|1|31.10.2019|95||1908144-418`0`1`31.10.2019
ПН.19.035 Щит|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.19.035 Щит|ПР|отгружено|29.10.2019|н|1||1|8.11.2019|8|??? Дата сколько? Заявку\|
1908168|ПУ00-000456|КТ|отгружено|11.10.2019|р|80||1|08.11.2019|16||1908168-456`3,01736111111111E-03`0,51`08.11.2019
1908056|ПУ00-000438|ШГ|отгружено|10.10.2019|л|153||2|08.11.2019|4460||1908056-438`0`1`
1811092|ПУ00-000451|КЛ|отгружено|15.11.2019|л|171||8|18.11.2019|1448||1811092-451`0`1`
1907124|ПУ00-000441|ШГ|отгружено|16.10.2019|л|77||3|18.11.2019|368|1812115|1907124-441`0`1`
1910091|ПУ00-000520|КТ|отгружено|21.11.2019|л|5||1|20.11.2019|56||1910091-520`0`1`
ПН.19.007 Манометрическая сборка|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.19.007 Манометрическая сборка|ПР|отгружено|07.11.2019|н|0||1|25.11.2019|4|Во вложении КД для Манометрической сборки ПН.19.007. Манометрическая сборка предназначена для измерения давления в аппарате обдувки при монтаже.|
1802084|ПУ00-000313|КЛ|отгружено|31.10.2019|о|603||26|20.11.2019|4136||1802084-313`1,14579513888889`0`23.11.2019 12:20:21
ПН.19.038 Поддон|Отдел технолога\В работе\ЗАКАЗЫ без ERP\ПН.19.038 Поддон|ПР|отгружено|21.11.2019|н|8||1|22.11.2019|333|поддон|
1403252|ПУ00-000500|КТ|отгружено|11.11.2019|л|2||4|12.11.2019|28||1403252-500`0`1`
1908031|ПУ00-000367|КЛ|отгружено|22.10.2019|л|323|?|16|20.11.2019|13500|для плана нет кд|1908031-367`0`1`
1909054|ПУ00-000523|ПР|отгружено|21.11.2019|н|8||176|22.11.2019|6||
1908144|ПУ00-000419|ШГ|отгружено|16.09.2019|л|20||1|31.10.2019|85||1908144-419`0`1`31.10.2019
1606042.2|ПУ00-000486|КТ|отгружено|29.10.2019|л|5||4|01.11.2019|48||1606042-486`0`1`
1909138|ПУ00-000479|КЛ|отгружено|11.11.2019|л|38||4|25.11.2019|267||1909138-479``1`
1908093|ПУ00-000529|КТ|отгружено|23.11.2019|л|1||1|26.11.2019|30||1908093-529`0`1`
1909175|ПУ00-000450|КЛ|отгружено|28.10.2019|л|28||1|19.11.2019|112||1909175-450`4,32870370370375E-04`0,99`15.11.2019 12:14:31
1611226.03 Доработка рамы насосов|Отдел технолога\В работе\ЗАКАЗЫ без ERP\1611226.03 Доработка рамы насосов|ПР|отгружено|24.10.2019|л|2||2|1.11.2019|82|Для отправки на Архангельский ЦБК по этому проекту: |
1906087|ПУ00-000449|КЛ|отгружено|29.10.2019|о|163||8|20.11.2019|2092||1906087-449`0,645842592592593`0`21.11.2019 23:40:26
1507046|ПУ00-000465|КТМ|отгружено|17.10.2019|л|179||4|20.11.2019|3912||1507046-465`2,63287037037037E-02`0,97`01.11.2019 16:06:22
1611090|ПУ00-000501|КТ|отгружено|11.11.2019|л|2||1|25.11.2019|25||1611090-501`0`1`
1907070|ПУ00-000470|ШГ|отгружено|30.10.2019|л|83||2|27.11.2019|1584||1907070-470`0`1`
1910197|ПУ00-000530|КТ|отгружено|23.11.2019|л|8||2|28.11.2019|58||1910197-530`0`1`
1910017|ПУ00-000460|КЛ|отгружено|08.11.2019|л|28||2|26.11.2019|92|предварительная заявка|1910017-460`0`1`
1202067|ПУ00-000490|КТ|отгружено|29.10.2019|л|2||2|15.11.2019|38||1202067-490`0`1`
